,x,y,forested,b01,b02,b03,b04,b05,b06,b07,b09,b10,b11
79,3872,1074,1,9252,8243,7424,6413,14880,8283,6241,5032,25987,24033
80,4602,6563,0,9368,8479,8471,7433,19714,12529,8568,5024,27139,24920
81,613,5126,1,9456,8471,7929,6605,18882,9104,6485,5046,25997,23902
82,3413,5320,0,11014,10331,9588,9385,13072,12074,9935,5022,31164,27534
83,6164,2618,1,8717,7779,6819,6073,9317,6388,5598,5058,25417,23439
84,4631,2135,1,9342,8322,7572,6499,18022,8885,6376,5028,26752,24557
85,4567,6516,0,10349,9628,8982,9333,13061,17338,13187,5040,28332,25985
86,3350,2400,1,9322,8316,7910,6522,22564,10571,7005,5038,25035,23419
87,6212,2704,1,9207,8382,7674,6973,11979,8458,6795,5337,24820,22920
88,1554,5204,1,9465,8418,7813,6549,22701,9871,6712,5049,26802,24532
89,6059,3562,0,9773,9017,8696,8278,14717,14345,11949,5029,32860,28720
90,1705,3727,0,10374,9536,8934,8871,13847,16489,12043,5063,28891,25985
91,3263,6415,0,10281,9357,8583,8322,10536,9401,8402,5034,28750,25917
92,1892,5646,0,10530,9788,9573,9712,15652,16285,13376,5038,31353,27626
93,990,5849,0,10398,9614,9594,9169,19760,17286,12063,5053,29561,26526
94,1159,2534,1,9565,8578,8120,6778,22747,10158,6937,5050,26578,24368
95,2338,3692,0,11038,10225,9271,9089,9411,9204,8533,5031,30373,27099
96,3416,1119,1,9257,8250,7811,6535,18829,8959,6432,5061,25879,23799
97,4342,6590,0,10104,9296,9075,8971,15540,15282,11274,5036,29692,26709
98,5821,3387,0,9539,8758,7998,7850,10026,12781,10706,5052,29062,26138
99,5025,4617,1,9468,8423,7639,6555,16990,9283,6579,5107,26368,24020
100,5222,6958,1,8751,7790,6951,6137,11212,6890,5762,5026,26886,24859
101,3882,2408,1,9056,8103,7590,6357,21399,8715,6272,5041,26190,24258
102,2286,6010,0,10790,10532,10875,12524,19580,19541,14280,5027,31258,27708
103,3455,3878,1,9269,8283,7455,6399,16361,8195,6086,5062,25724,23773
104,3792,2775,1,9066,8103,7395,6322,16872,8247,6121,5010,25909,24017
105,3052,4051,1,9395,8369,7626,6489,17068,9336,6600,5021,25762,23835
